pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,872.908943211417
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,872.908943211417
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,874.181877518454
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,894.1530832833431
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,874.4661500836953
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,872.908943211417
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,872.908943211417
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,872.908943211417
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,872.908943211417
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,874.181877518454
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,875.6916323009556
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,874.181877518454
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,872.908943211417
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,872.908943211417
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,881.6979376890646
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,872.908943211417
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,874.181877518454
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,875.6916323009556
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,874.181877518454
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,872.908943211417
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,891.3703941938045
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,872.908943211417
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,872.908943211417
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,877.2901913062286
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,875.6916323009556
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,874.181877518454
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,872.908943211417
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,872.908943211417
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,872.908943211417
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,872.908943211417
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,875.6916323009556
