pickup,delivery,distance,equipment,weight,date,predicted_rate,quote_signal,market_index
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,,2.052022857142857,0.8349189949748744
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,,2.0341148387096775,0.9146795283018868
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,,2.0532927699530514,0.9940630622009569
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,,2.37177,1.01034
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,,1.828165,1.00083
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,,2.025272912621359,0.8891544059405941
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,,2.05134,0.80541
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,,2.0399622085889573,0.8401099999999999
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,,2.10398,0.9283
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,,2.0478370558375634,0.9989070984455958
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,,2.047131836734694,1.027247
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,,2.045228009708738,0.9814481773399014
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,,2.063476351351351,0.8965907727272727
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,,2.057260769230769,0.8382462359550561
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,,2.17962,0.85595
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,,2.0661321634615386,0.9241924878048781
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,,2.0243389047619047,1.002120895522388
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,,2.046439,1.0339775595238097
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,,2.0334292511013214,0.9886736199095022
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,,2.060178736842105,0.9018281081081081
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,,2.33895,0.81167
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,,2.0238794240837694,0.8599071739130435
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,,2.0327813265306123,0.9303662303664921
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,,1.98154,1.06853
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,,2.0539047999999998,1.0445469897959183
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,,2.0536464550264553,0.9971956451612904
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,,2.0381573542600897,0.9145282272727272
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,,2.0466757923497267,0.8580224999999999
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,,2.0416220942408376,0.8695522751322752
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,,2.066128238095238,0.944019068627451
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,,2.00929310880829,1.0272512041884816
