pickup_lat,pickup_lon,delivery_lat,delivery_lon,distance,weight,market_index,quote_signal,posted_rate,month,day_of_week,quarter,is_weekend,equip_Dry Van,equip_Flatbed,equip_Reefer
38.09122,-76.78906,38.16908,-72.74564,274.3,30658.0,0.95684,2.39595,645.41,1,2,1,0,True,False,False
38.09122,-76.78906,39.22317,-72.9671,280.5,17555.0,0.97623,2.43355,679.97,1,2,1,0,False,False,True
39.22317,-72.9671,44.30296,-87.52871,967.8,31721.0,1.00971,1.84491,1802.54,1,2,1,0,True,False,False
39.55328,-72.18051,34.84933,-86.2894,965.4,32333.0,0.94518,1.87712,1827.28,1,2,1,0,True,False,False
31.83025,-94.38343,35.29479,-88.08915,541.9,35183.0,0.9848,2.563,1380.28,1,2,1,0,False,False,True
28.75668,-115.87725,28.61374,-95.89569,1396.4,17018.0,0.95167,1.92983,2676.98,1,2,1,0,False,True,False
33.07921,-119.79528,29.50969,-98.40059,1502.6,19112.0,0.95696,1.82074,2718.54,1,2,1,0,True,False,False
35.1967,-121.69849,39.41104,-91.1245,1976.9,29169.0,0.97818,1.7843,3522.92,1,2,1,0,True,False,False
33.28832,-116.67935,31.37602,-86.10743,2027.7,35018.0,0.96534,1.79522,3675.27,1,2,1,0,True,False,False
35.39918,-109.59792,28.75668,-115.87725,717.1,34671.0,0.98475,2.17079,1578.83,1,2,1,0,False,True,False
39.71695,-78.12481,33.07921,-119.79528,2766.6,28651.0,0.92945,1.72804,4744.15,1,2,1,0,True,False,False
38.09122,-76.78906,36.99152,-84.99876,549.0,26738.0,0.97136,2.2189,1207.88,1,2,1,0,False,True,False
31.83025,-94.38343,33.31075,-110.3123,1085.1,46974.0,1.012,2.11614,2277.79,1,2,1,0,True,False,False
31.80442,-88.25195,42.80915,-76.89973,1145.3,37985.0,0.98329,1.92512,2229.54,1,2,1,0,True,False,False
35.29479,-88.08915,34.84933,-86.2894,145.6,37475.0,0.94244,2.70409,395.09,1,2,1,0,True,False,False
43.61923,-84.04517,37.36588,-87.47153,575.8,31412.0,0.93148,2.02239,1165.8,1,2,1,0,True,False,False
43.96975,-71.05842,30.50134,-92.65374,1755.3,23493.0,0.96873,1.98336,3444.74,1,2,1,0,False,False,True
32.53273,-92.19519,33.28832,-116.67935,1706.0,40439.0,0.99368,1.88236,3238.08,1,2,1,0,True,False,False
39.54838,-118.64843,35.39918,-109.59792,698.5,31643.0,0.99684,2.06177,1441.82,1,2,1,0,True,False,False
29.39553,-99.6978,29.50969,-98.40059,108.2,32629.0,0.9355,2.72,305.7,1,2,1,0,True,False,False
35.29792,-87.18651,37.15706,-86.77499,158.0,39459.0,0.95736,2.67125,418.21,1,2,1,0,True,False,False
38.09122,-76.78906,31.88294,-98.58097,1558.9,29423.0,0.93608,1.80988,2825.86,1,2,1,0,True,False,False
35.29479,-88.08915,36.99152,-84.99876,262.8,26525.0,0.94602,2.34816,616.12,1,2,1,0,True,False,False
37.15706,-86.77499,31.80442,-88.25195,448.9,34499.0,0.96703,2.32362,1060.95,1,2,1,0,False,True,False
42.80915,-76.89973,41.31561,-85.36206,521.5,35656.0,0.96458,2.26927,1176.88,1,2,1,0,False,True,False
34.84933,-86.2894,38.16908,-72.74564,934.2,34631.0,0.92552,1.89156,1765.95,1,2,1,0,True,False,False
39.71695,-78.12481,29.87534,-99.85456,1634.9,29903.0,0.97422,1.79577,2952.29,1,2,1,0,True,False,False
31.88294,-98.58097,32.53273,-92.19519,446.4,26877.0,0.9559,2.39227,1056.36,1,2,1,0,False,True,False
36.99152,-84.99876,28.61374,-95.89569,1001.4,41701.0,0.97068,2.03186,2029.09,1,2,1,0,True,False,False
33.07921,-119.79528,35.39918,-109.59792,735.4,21847.0,0.95146,1.8929,1399.93,1,2,1,0,True,False,False
28.56624,-116.70249,39.41104,-91.1245,1884.4,13936.0,0.92938,1.85496,3486.57,1,2,1,0,False,True,False
37.37287,-69.5,39.41104,-91.1245,1367.9,40312.0,0.96037,2.05509,2772.52,1,2,1,0,False,True,False
41.70243,-89.85588,30.50134,-92.65374,944.9,46853.0,0.91635,2.04256,1904.87,1,2,1,0,True,False,False
39.55328,-72.18051,34.6357,-83.28506,839.5,24666.0,0.98045,1.84874,1549.61,1,2,1,0,True,False,False
33.31075,-110.3123,30.50134,-92.65374,1256.0,30848.0,0.97089,2.16484,2719.33,1,2,1,0,False,False,True
38.87577,-77.05086,39.55328,-72.18051,334.1,34583.0,0.96019,2.44821,796.1,1,2,1,0,False,True,False
33.17137,-104.36789,44.30296,-87.52871,1379.2,21636.0,0.9765,1.78056,2472.76,1,2,1,0,True,False,False
39.55328,-72.18051,35.39918,-109.59792,2442.7,31363.0,0.94653,1.99917,4817.75,1,2,1,0,False,False,True
44.30296,-87.52871,33.28832,-116.67935,2021.3,32812.0,0.92008,1.9493,3894.56,1,2,1,0,False,False,True
35.56802,-89.52871,35.29792,-87.18651,172.7,31783.0,0.95,2.60873,449.07,1,2,1,0,True,False,False
30.50134,-92.65374,33.31075,-110.3123,1222.2,25307.0,0.96151,2.03905,2502.44,1,2,1,0,False,True,False
33.17137,-104.36789,37.15706,-86.77499,1213.7,20944.0,0.96943,1.87873,2248.54,1,2,1,0,True,False,False
35.1967,-121.69849,40.00674,-73.7984,3112.0,35002.0,0.98359,1.66979,5224.69,1,2,1,0,True,False,False
